신고일,0-19,20-34,35-49,50-64,65+
2021-02-26,53,74,81,119,49
2021-02-27,55,81,79,95,73
2021-02-28,55,65,74,86,46
2021-03-01,73,87,119,82,46
2021-03-02,64,85,103,93,50
2021-03-03,55,98,125,115,44
2021-03-04,42,100,99,109,57
2021-03-05,45,106,95,92,66
2021-03-06,47,79,66,91,61
2021-03-07,66,83,86,88,55
2021-03-08,50,115,136,113,83
2021-03-09,75,89,101,109,64
2021-03-10,53,112,98,114,97
2021-03-11,59,87,112,150,105
2021-03-12,47,96,113,138,64
2021-03-13,42,96,80,122,65
2021-03-14,39,85,104,108,44
2021-03-15,45,81,100,125,62
2021-03-16,48,91,103,123,64
2021-03-17,58,100,111,115,66
2021-03-18,50,90,106,137,59
2021-03-19,52,130,118,128,80
2021-03-20,40,74,112,114,65
2021-03-21,40,79,98,88,73
2021-03-22,60,83,84,76,53
2021-03-23,58,100,110,106,60
2021-03-24,72,111,125,113,53
2021-03-25,62,97,103,120,63
2021-03-26,86,112,104,131,98
2021-03-27,49,96,95,122,69
2021-03-28,48,75,84,102,52
2021-03-29,63,105,131,139,64
2021-03-30,74,98,143,130,63
2021-03-31,80,136,123,139,107
2021-04-01,61,117,127,117,71
2021-04-02,75,131,123,151,95
2021-04-03,47,87,112,153,75
2021-04-04,64,81,96,138,88
2021-04-05,91,108,136,174,84
2021-04-06,93,146,158,171,88
2021-04-07,96,143,163,181,95
2021-04-08,109,113,173,194,107
2021-04-09,99,138,160,173,94
2021-04-10,76,113,112,175,87
2021-04-11,65,107,113,169,80
2021-04-12,82,135,140,180,103
2021-04-13,69,160,142,239,90
2021-04-14,90,162,165,205,107
2021-04-15,62,129,148,166,96
2021-04-16,87,147,153,207,112
2021-04-17,67,108,140,173,106
2021-04-18,72,87,120,141,62
2021-04-19,106,115,170,168,87
2021-04-20,102,141,185,186,77
2021-04-21,107,154,166,232,146
2021-04-22,100,178,147,213,105
2021-04-23,106,196,162,188,96
2021-04-24,53,127,109,149,86
2021-04-25,56,102,103,147,76
2021-04-26,69,145,148,171,120
2021-04-27,83,140,175,198,115
2021-04-28,92,127,142,167,99
2021-04-29,80,152,164,170,110
2021-04-30,62,120,150,184,108
2021-05-01,68,110,121,155,82
2021-05-02,71,90,118,127,59
2021-05-03,73,161,143,152,80
2021-05-04,90,134,154,185,71
2021-05-05,69,105,107,140,75
2021-05-06,83,141,153,173,80
2021-05-07,95,145,123,159,93
2021-05-08,76,102,97,124,101
2021-05-09,53,107,102,103,62
2021-05-10,75,130,149,140,76
2021-05-11,102,126,160,178,101
2021-05-12,84,145,212,196,109
2021-05-13,85,145,175,162,111
2021-05-14,102,149,140,178,89
2021-05-15,77,130,138,146,84
2021-05-16,77,146,122,144,72
2021-05-17,93,136,125,166,65
2021-05-18,95,161,153,165,91
2021-05-19,100,138,140,113,58
2021-05-20,75,148,157,155,74
2021-05-21,75,192,157,147,80
2021-05-22,61,130,132,143,75
2021-05-23,68,107,123,132,48
2021-05-24,66,147,170,148,62
2021-05-25,72,162,151,174,95
2021-05-26,60,173,160,170,72
2021-05-27,65,165,134,111,68
2021-05-28,76,134,125,144,48
2021-05-29,42,111,96,119,67
2021-05-30,55,109,109,102,47
2021-05-31,90,122,163,155,53
2021-06-01,87,157,196,201,62
2021-06-02,79,165,193,170,67
2021-06-03,92,177,151,159,64
2021-06-04,104,172,184,174,78
2021-06-05,63,137,140,124,64
2021-06-06,56,116,122,115,31
2021-06-07,54,126,155,142,45
2021-06-08,66,142,188,147,45
2021-06-09,65,151,180,145,46
2021-06-10,88,148,131,126,43
2021-06-11,68,143,142,124,46
2021-06-12,41,92,103,118,48
2021-06-13,47,88,86,95,29
2021-06-14,68,126,128,102,39
2021-06-15,80,141,143,138,44
2021-06-16,61,136,152,130,46
2021-06-17,71,132,113,125,38
2021-06-18,63,118,117,132,33
2021-06-19,50,83,93,105,42
2021-06-20,50,69,98,80,18
2021-06-21,91,127,133,153,32
2021-06-22,103,167,170,136,45
2021-06-23,106,188,176,131,42
2021-06-24,106,172,135,139,47
2021-06-25,92,177,162,126,34
2021-06-26,100,171,164,112,41
2021-06-27,71,132,130,120,31
2021-06-28,98,225,202,132,29
2021-06-29,77,260,213,160,25
2021-06-30,123,245,238,153,32
2021-07-01,136,255,223,153,23
2021-07-02,132,239,202,131,27
2021-07-03,96,208,205,145,28
2021-07-04,113,204,173,140,29
2021-07-05,135,341,285,196,36
2021-07-06,135,418,313,248,47
2021-07-07,229,484,332,257,45
